srcip,record_id,classification,severity,risk_score,connection_count,unique_dstip_count,unique_dsport_count,dst_src_relationship_count,state_ttl_count,attack_cat,label,reason
record-18839,18839,Suspicious,Medium,52,44,43,43,46,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 46 links
record-18852,18852,Suspicious,Medium,52,44,43,43,46,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 46 links
record-19448,19448,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19453,19453,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19457,19457,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19461,19461,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19480,19480,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19484,19484,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19487,19487,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19489,19489,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19492,19492,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19496,19496,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19500,19500,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19511,19511,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19518,19518,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19524,19524,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19530,19530,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19701,19701,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19706,19706,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19737,19737,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19741,19741,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19747,19747,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19752,19752,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19755,19755,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19757,19757,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19823,19823,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19827,19827,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19831,19831,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19834,19834,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19841,19841,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19874,19874,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19878,19878,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19903,19903,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19944,19944,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19947,19947,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19951,19951,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19954,19954,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19958,19958,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19975,19975,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19978,19978,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-19985,19985,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-20126,20126,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-20129,20129,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-20132,20132,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-20541,20541,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-20543,20543,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-20545,20545,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-20548,20548,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-20551,20551,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-20640,20640,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-20644,20644,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-20646,20646,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-20650,20650,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-20698,20698,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-21099,21099,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-21103,21103,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-21106,21106,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-21109,21109,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-21254,21254,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-21258,21258,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-21262,21262,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-21420,21420,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-21424,21424,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-21426,21426,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-21430,21430,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22237,22237,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22238,22238,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22239,22239,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22240,22240,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22241,22241,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22242,22242,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22243,22243,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22255,22255,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22256,22256,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22257,22257,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22262,22262,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22263,22263,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22264,22264,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22265,22265,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22266,22266,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22267,22267,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22315,22315,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22316,22316,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22317,22317,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22322,22322,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22323,22323,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22324,22324,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22325,22325,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22894,22894,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22900,22900,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22901,22901,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22902,22902,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22903,22903,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22904,22904,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22931,22931,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-23292,23292,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-23293,23293,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-23294,23294,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-12019,12019,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-12025,12025,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-12031,12031,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-12041,12041,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-12093,12093,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-12096,12096,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-12118,12118,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-12122,12122,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-12126,12126,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-12129,12129,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-12132,12132,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-12242,12242,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-12246,12246,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-12250,12250,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-12629,12629,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-12634,12634,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-12641,12641,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-12646,12646,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-12653,12653,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-13213,13213,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-13536,13536,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-13550,13550,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-13556,13556,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-13561,13561,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-13566,13566,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-13656,13656,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-13822,13822,Suspicious,Medium,52,43,43,43,50,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 50 links
record-13828,13828,Suspicious,Medium,52,43,43,43,50,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 50 links
record-13832,13832,Suspicious,Medium,52,43,43,43,50,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 50 links
record-13838,13838,Suspicious,Medium,52,43,43,43,50,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 50 links
record-13852,13852,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-13859,13859,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-13862,13862,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-13867,13867,Suspicious,Medium,52,43,43,43,50,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 50 links
record-13868,13868,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-13872,13872,Suspicious,Medium,52,43,43,43,50,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 50 links
record-13873,13873,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-13877,13877,Suspicious,Medium,52,43,43,43,50,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 50 links
record-13982,13982,Suspicious,Medium,52,43,43,43,50,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 50 links
record-13988,13988,Suspicious,Medium,52,43,43,43,50,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 50 links
record-13993,13993,Suspicious,Medium,52,43,43,43,50,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 50 links
record-13999,13999,Suspicious,Medium,52,43,43,43,50,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 50 links
record-14005,14005,Suspicious,Medium,52,43,43,43,50,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 50 links
record-14030,14030,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-14035,14035,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-14042,14042,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-14047,14047,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-14054,14054,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-14068,14068,Suspicious,Medium,52,43,43,43,50,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 50 links
record-14081,14081,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-14095,14095,Suspicious,Medium,52,43,43,43,45,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 45 links
record-14103,14103,Suspicious,Medium,52,43,43,43,45,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 45 links
record-14108,14108,Suspicious,Medium,52,43,43,43,45,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 45 links
record-14115,14115,Suspicious,Medium,52,43,43,43,45,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 45 links
record-14121,14121,Suspicious,Medium,52,43,43,43,45,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 45 links
record-14153,14153,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-14160,14160,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-14165,14165,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-14191,14191,Suspicious,Medium,52,43,43,43,45,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 45 links
record-14197,14197,Suspicious,Medium,52,43,43,43,45,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 45 links
record-14246,14246,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-14247,14247,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-14255,14255,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-14262,14262,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-14269,14269,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-14276,14276,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-14280,14280,Suspicious,Medium,52,43,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
